current_path,size_bytes,sha256,classification,status
03_GOVERNANCE_EVIDENCE_READONLY/review-session/VOTE_RECORD.md,37341,b56fd02ef349e4c1d9e061424c54d8de61899671d0a12dac803f9e0a670640d6,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/RESEARCH/RES-001_RFC8785_CANONICAL_JSON.md,1334,f2642375ae59ae4252003799a6c0dec80d5b3d0f19737bf6decd92ab56367d7c,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/ADR_INVENTORY.md,4746,1404b6bf39382c9d82187972898f28a7ee26f0800bf8cad5a5b925be07610b1e,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/ASSUMPTION_REGISTER.md,1803,63d9b3eaa25901987528b077dbaad6effb8becf2f516ccd5704157f6da39ca43,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/C00_FINAL_AUDIT.md,4534,e1a54d78bb91f824442760b9450a2050928711f125914c0a36443d7d01fb9693,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/C00_GAP_TO_C01_SEED_REGISTER.md,5141,e4fbca19492554a37ce4aa812e0b4d24c643d6872e2bbdcfe0abecc522dba235,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/C01_COVERAGE_PLAN.md,5734,fac77bc9978a62b0b4dfcc1303cdf4bfddd6a05162ec931c0a0bc388ff91fdf8,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/C01_COVERAGE_VALIDATION_REPORT.md,628,cca103c552a0c231068ec730c9a72f56bdc64d324e333d992b6add5cdcd17636,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/CONTRACT_INVENTORY.md,6173,4a386bc79cff9d38e11d93f6c852979f856623f6ce5d4b28b30ad1b4b75b174e,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/EVIDENCE_LEDGER.md,5643,e8af5845cc48d9702b462657cc1bc6c921d907cc08abbf438043466b6722c28d,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/PROTECTED_CAPABILITY_REGISTER.md,8956,74ef7c0f8f1a131283a6f6c8517f844fb584c0247db2aaba57cfeac30c6db27d,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/REFERENTIAL_INTEGRITY_REPORT.md,604,58eed9cfee37f058534e9491cee4d4072fddce5a86d6c7932b3dc4e9c7f5aa07,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/REPO_INVENTORY.md,9886,cbadc7cabda1ea1e5093a0b0824a04f99c54a3f81d607b64728c0a764d9db98e,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/REQUIREMENT_TRACEABILITY_MATRIX.md,13906,ce3bfb118a127ca739a0458dcc4fec0e87c6252ba83207f2e5bb4735a7652887,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/SESSION_MANIFEST.md,1171,0f5be955866991aa68971d6b4749799ce2d9d7913d6ff8fb1f7bceb518e96aa2,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/SOURCE_FILE_INVENTORY.md,26121,cf552c83c890a3156ce61a62a2fd8109b0eb00b76ddde3a3f2d9c9a1c2272b71,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/SOURCE_IMMUTABILITY_CHECK.md,563,fd99c2342cc619ab488657824e7ed6c01b9a610f4ca7a1fe28e83c050e004d0c,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/SUPPLEMENTARY_SPEC_INVENTORY.md,400,3918b1e8fae339127edd5c6782d248a4e00e69f690a954fcf5beea7992b73c0a,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/SYSTEM_INVARIANT_INVENTORY.md,9745,f7cba8dd2fd9407cf66d680dc9bb71f135d8756f0bd2dbfb4f78283e5ac1af90,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/C00_FINAL/tools/build_c00_final.py,116606,38d74b05d4b5d4f2d7e2dc3275faf944fcc8e527e41b1d2d7ff54a3d8e872079,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FILE_HASHES.json,9636,15d9ca733b8df1522a091881a5a1f411040b64a70de5d8c71bae3ab7daed2bbb,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_AUDIT_REPORT.md,1247,c6e67a0dab5f56f57d93edc500b3f5530253cc7764a927f05c312a5c6e86fd29,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_CONTRACT_COMPATIBILITY_MATRIX.md,988,e0b07fa592da79705d568907cfc136c7f31c0342c36495591cb11dcbc174beae,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_DISSENT_REGISTER.md,1463,d549ce66afcec4e79aecd11cef7e75824e591787dd49f7d0f3f4db9c4c0fc848,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_IMPLEMENTATION_HANDOFF_INDEX.md,2422,9019c77ee654d68ffc6e486b7885d81522d6acd0409fead242bbeb1a0c510abc,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_PROTECTED_CAPABILITY_REPORT.md,3042,2814d124c527f6053aaabe3563263100a21a06e4becdfce08a541968285f8442,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_REPO_DEPENDENCY_GRAPH.md,970,5a3cce0c60af8a4bad9160f433433ae4c12270874b36553f5602d4ed799d7ab9,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_REQUIREMENT_TRACEABILITY.md,14291,924bcdc4abc384716b80238b11c9bec4b46df554cab795c7f43ea555feb3eae3,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_RISK_REGISTER.md,1129,386b429a195f4a84ae35ddffbd07ecfb54050678fc66ec61f4d738233dc9d25e,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FINAL_SPEC_MANIFEST.md,1362,145d30f4221488616f6bd22ead52dd1f2e3e505ff9b94e00b41fe1501a8f7f69,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FREEZE_CERTIFICATE.md,2669,f42694c495444dbd8fc13bb199a0d90a2601417f3b08245cfbfc8b92e1aeaaf8,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/SPONSOR_PROXY_DECISION.md,954,721c09ba796fb335416bd7de22e0ccc1a5c14e9905796b65ef7401559d8681dd,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/build_final_freeze.py,11248,f8045ceac14319f325348f4c84c69b13d696f361c4c523879a24eb652eb1545e,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/COMMITTEE_REVIEW_EDITION.md,1886,6f6b8fd5bd970adc94dc8bd7346cae49fbd06d13fece319e80981f5781598107,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/KIT_MANIFEST.yaml,8566,9fd2e4b8aa5389a341b5a373598d29c9788f2058210e269d533566af8ec53e29,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/README.md,2329,1619091f206a5ca28c2e833ace174abcc1de5dd4c625c4aaea61fa0fb70f09f4,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/VERSION,23,3be0958b67381fd1503034bb4e3d5a82b3b4074ee4a1c5c8b73e03ecf1cccde9,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/COMMAND_EVENT_CATALOG.md,1779,a2788dd58b39c463923063318632941c32a874563cae1575dc6c7cb16da7a938,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/DEPENDENCY_GRAPH.md,1137,3748427f804dae012efef0d2945b64a1e6bce223ba7bed6f13b461c89bf4de57,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/E2E_INTEGRATION_PROTOCOL.md,1633,516be120e98bae406fd9986e71f0907a74460ed97d67fbb97008872d729c5d58,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/FREEZE_CHECKLIST.md,1352,d164ab6899c8e3d5f691c6b394cc2430cf67c93709d0d14bb497a8b94f49d279,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/LOCAL_DEVELOPMENT.md,762,23a5ecd08d658e55487b984a796ac6a9b8d19d32a6c80b4804c757399287396f,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/SECURITY_MODEL.md,2455,462d37643ea97f1a59ba037d200deae952a0f48226258570096987f50098ddea,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/04_integration/TEST_STRATEGY.md,2044,5c4b8b36ae1eff268d60cc9dccbb1d1bf731d3bd4e0dae2484ee4366d350bb38,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/06_adrs/ADR-001_MODULAR_POLYREPO.md,696,ec0fe94c5ffb0d17decb90c9a28ada33193eaf7361ca7e389973c59f549818b7,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/06_adrs/ADR-002_CANONICAL_STATE.md,553,63407d8503675a5487738260d54e586ce5146acd6fd6249951f02c0434176bd0,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/06_adrs/ADR-003_PROVIDER_ABSTRACTION.md,546,5aefe949b3496d96466645000d07c185181a3fe99c17849fc15344f1fb376db7,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
03_GOVERNANCE_EVIDENCE_READONLY/review-session/FINAL_FREEZE/FROZEN_SPEC_CANDIDATE/06_adrs/ADR-004_DUAL_FLOW_EXECUTION.md,592,9b8434cd7470d415f78b073602e69e3c51ef1ecc0d900a0889a6e44b84c3c8a0,GOVERNANCE_EVIDENCE_IMMUTABLE,NORMALIZED
